CanSmiles,ATC_L1,Drug_Name
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],B03BA01,Cyanocobalamin
C(C(CS)S)O,V03AB09,Dimercaprol
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,L01BC01,Cytarabine
CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.O.[Na+],M01AG04,Meclofenamate sodium
CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.O.[Na+], M02AA18,Meclofenamate sodium
CC1=CC(=O)OC2=C1C=CC(=C2)O,A05AX02,Hymecromone
C(C(C(=O)O)N)SCC(=O)O,R05CB03,L-Carbocisteine
C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N,V04CJ02,Protirelin
C1=CC(=CC=C1C(CN)O)O.Cl,C01CA18,Octopamine hydrochloride
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,C01EA01,Alprostadil
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O, G04BE01,Alprostadil
CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O,B01AE03,Argatroban
CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34,G03AC01,Norethindrone
CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34, G03DC02,Norethindrone
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,J01MB02,Nalidixic acid
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,L04AD01,Cyclosporine
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C, S01XA18,Cyclosporine
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,G03CA04,Estriol
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O, G03CC06,Estriol
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,J01MA02,Ciprofloxacin
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O, S01AE03,Ciprofloxacin
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O, S02AA15,Ciprofloxacin
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O, S03AA07,Ciprofloxacin
CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,A11CC01,Ergocalciferol
CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,A11CC05,Cholecalciferol
